DHRYSTONE,INST_RETIRED,INST_SPEC_EXEC,INST_SPEC_EXEC_VFP,INST_SPEC_EXEC_INTEGER_INST,CPU_CYCLES
30000,38163506,48449521,0,20840734,26345386
30000,38160636,38184490,0,16510089,20474967
30000,38160636,51140464,0,21534859,29220450
30000,38160636,38408440,0,16606393,20583521
30000,38160636,52860524,0,22633392,29316472
30000,38160636,47309778,0,20121006,25992191
80000,101763506,123900726,0,53816982,68601468
80000,101760636,135062813,0,57952222,74996579
80000,101760636,124020454,0,53270537,69303148
80000,101760636,137867409,0,59342332,76701725
80000,101760636,119295464,0,51312905,65587873
80000,101760636,112607709,0,48739564,61745989
400000,508803506,610023793,0,262966759,342600807
400000,508800636,597923379,0,256680843,335028516
400000,508800636,637743197,0,272578948,359060384
400000,508800636,623581614,0,269055633,348247374
400000,508800636,595826153,0,255789667,331251570
400000,508800636,623855210,0,269575380,348133524
200000,254403506,300075949,0,129490345,166520273
200000,254400636,284322682,0,121951662,156635428
200000,254400636,304688256,0,130447772,169786102
200000,254400636,304898702,0,130350730,170250205
200000,254400636,292544146,0,126674871,161698827
200000,254400636,317875833,0,136765451,177474410
10000000,12720003506,15760936309,0,6774677869,8853020342
10000000,12720000636,15563387100,0,6704335042,8683504467
10000000,12720000636,15484434409,0,6671457124,8673366455
10000000,12720000636,15562288636,0,6713010297,8710951303
10000000,12720000636,15467534216,0,6662993063,8659993315
10000000,12720000636,15384015594,0,6631410110,8617132191
