CALC-PRIME,CPU_CYCLES,INST_RETIRED,INST_SPEC_EXEC,INST_SPEC_EXEC_VFP,INST_SPEC_EXEC_INTEGER_INST,INST_SPEC_EXEC_LOAD_STORE,CALC-PRIME,INST_SPEC_EXEC_LOAD,INST_SPEC_EXEC_STORE,INST_SPEC_EXEC_SIMD,INST_SPEC_EXEC_SOFT_PC,INST_SPEC_EXEC_LDREX,INST_SPEC_EXEC_STREX_PASS,CALC-PRIME,INST_SPEC_EXEC_STREX_FAIL,BRANCH_MISPRED,BRANCH_PRED,BRANCH_SPEC_EXEC_IMM_BRANCH,BRANCH_SPEC_EXEC_RET,BRANCH_SPEC_EXEC_IND,CALC-PRIME,L1D_TLB_REFILL,L1I_TLB_REFILL,L1D_TLB_READ_REFILL,L1D_TLB_WRITE_REFILL,CALC-PRIME,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L2D_CACHE_ACCESS,L2D_CACHE_REFILL
3000,60890714,50811782,66035775,0,28023910,29185978,3000,21084726,7562484,0,7662720,217836,217836,3000,0,461263,7570514,6666529,751911,903985,3000,208,53,190,18,3000,499,26449404,314,24766861,1242,138
3000,58967851,50818996,64239935,0,27451215,28106731,3000,21784434,7791063,0,7761620,217864,217864,3000,2,455207,7576811,6673186,753265,903625,3000,150,46,140,10,3000,246,26389463,88,24742063,472,15
3000,58822886,50813306,63921017,0,27310149,27978183,3000,21712421,7751697,0,7748461,217852,217852,3000,0,451946,7563595,6661014,753197,902581,3000,94,39,85,9,3000,248,26446141,85,24774007,472,4
6000,138830477,111944158,148228783,0,63483926,65292439,6000,45935148,16378276,0,16469324,453526,453520,6000,0,997249,16567543,14694899,1561746,1872644,6000,308,79,283,25,6000,634,61690795,426,56839896,1856,367
6000,136538947,111936096,145343692,0,62390022,64002534,6000,46133823,16431367,0,16526632,453504,453504,6000,0,1014202,16691495,14818710,1564499,1872785,6000,196,56,177,19,6000,287,61453990,155,56688823,719,15
6000,136268578,111938934,144994027,0,62240712,63912071,6000,46087726,16397368,0,16497283,453518,453508,6000,0,1019921,16708250,14834885,1565049,1873365,6000,188,46,168,20,6000,236,61278346,152,56620951,604,16
12000,298840444,245972256,309275185,0,132652283,136547062,12000,100399540,35622407,0,35460744,944876,944876,12000,0,2119229,35667797,31758449,3257714,3909348,12000,476,76,430,46,12000,539,128680642,219118,121550438,439084,280
12000,305067479,245977582,317954317,0,136643421,140551678,12000,99268619,35222769,0,35354769,944890,944884,12000,0,2182308,36125958,32205547,3263939,3920411,12000,362,41,320,42,12000,283,126190629,210972,120306229,422408,10
12000,304969783,246002994,317717647,0,136553308,140436180,12000,99327437,35260084,0,35358162,944968,944956,12000,0,2162866,36030349,32118466,3268121,3911883,12000,341,49,301,40,12000,315,126250501,210910,120304045,422241,9
24000,643312002,536640684,654744885,0,280577475,289064398,24000,217538748,76985333,0,76405965,1962340,1962336,24000,0,5853866,74666210,66673040,6636036,7993170,24000,798,71,708,90,24000,526,269944855,552380,261620655,1105914,289
24000,641190405,536623676,654784927,0,280788383,288454185,24000,215624597,76372189,0,76168644,1962348,1962344,24000,0,4442661,75794484,67647906,6806715,8146578,24000,750,55,658,92,24000,335,271010143,552824,261970977,1106268,25
24000,641601242,536644102,655841996,0,281156953,289031321,24000,215678623,76388535,0,76313248,1962342,1962332,24000,2,4410096,75784120,67641466,6805984,8142654,24000,705,45,649,56,24000,324,271564967,552076,261872909,1104728,8
48000,1485882589,1166321962,1474527931,0,630193341,658625335,48000,478165905,168555025,0,164382990,4070328,4070304,48000,2,12281785,160779778,144178446,13798427,16601332,48000,1604,67,1456,148,48000,610,603521556,924755,578339373,1850765,388
48000,1461501350,1166335332,1464292734,0,629654414,648495182,48000,487242990,171224846,0,166023572,4070336,4070316,48000,0,9850545,165944338,149009865,14149311,16934473,48000,1549,45,1400,149,48000,435,622656105,918456,587464514,1837587,36
48000,1461359937,1166312842,1464319102,0,629664668,648483143,48000,487228115,171132632,0,165861915,4070274,4070260,48000,0,9850684,165883718,148950913,14149375,16932805,48000,1522,35,1330,192,48000,519,622784404,917565,587374535,1835963,136
