DHRYSTONE,CPU_CYCLES,INST_RETIRED,INST_SPEC_EXEC,INST_SPEC_EXEC_VFP,INST_SPEC_EXEC_INTEGER_INST,INST_SPEC_EXEC_LOAD_STORE,DHRYSTONE,INST_SPEC_EXEC_LOAD,INST_SPEC_EXEC_STORE,INST_SPEC_EXEC_SIMD,INST_SPEC_EXEC_SOFT_PC,INST_SPEC_EXEC_LDREX,INST_SPEC_EXEC_STREX_PASS,DHRYSTONE,INST_SPEC_EXEC_STREX_FAIL,BRANCH_MISPRED,BRANCH_PRED,BRANCH_SPEC_EXEC_IMM_BRANCH,BRANCH_SPEC_EXEC_RET,BRANCH_SPEC_EXEC_IND,DHRYSTONE,L1D_TLB_REFILL,L1I_TLB_REFILL,L1D_TLB_READ_REFILL,L1D_TLB_WRITE_REFILL,DHRYSTONE,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L2D_CACHE_ACCESS,L2D_CACHE_REFILL
60000,48601581,76323534,86475150,0,37485157,38145164,60000,23628622,11769571,0,9793044,0,0,60000,0,66180,9954102,7847754,1986324,2106348,60000,20642,46,20041,601,60000,375,29551628,261,38058213,20253,184
60000,58256935,76320664,102449693,0,43593799,45885254,60000,30518291,15325809,0,11494004,0,0,60000,0,94028,10981656,8730613,2131029,2251043,60000,188,29,122,66,60000,287,29337377,116,37665154,33643,28
60000,58644752,76320664,102581031,0,44327065,45420999,60000,30815142,15266104,0,11669131,0,0,60000,0,79506,10864184,8581995,2162179,2282189,60000,26069,17,25797,272,60000,266,33890475,142,39754579,91850,2
120000,100578379,152643534,180884181,0,77975430,80237157,120000,53361568,26212309,0,21331923,0,0,120000,0,190502,21719403,17276938,4202019,4442465,120000,26111,50,26007,104,120000,639,57382768,329,74507445,92480,325
120000,95062261,152640664,175205889,0,75879040,77398093,120000,49982342,25002924,0,20348609,0,0,120000,0,135106,20465921,16089184,4136726,4376737,120000,150286,26,102864,47422,120000,314,75010304,116,82497808,288138,21
120000,107216593,152640664,191830646,0,82149114,85312619,120000,51442698,25893524,0,20639773,0,0,120000,0,247194,21909224,17254285,4414927,4654939,120000,46245,26,7881,38364,120000,331,67201169,126,78727026,124039,11
240000,190194581,305283534,344924696,0,148181666,153287639,240000,99656418,49681638,0,40674606,0,0,240000,0,207267,40954357,32304803,8169531,8649554,240000,182555,40,181727,828,240000,804,135604142,594,157539145,712525,346
240000,192846345,305280664,349129676,0,151341470,153907148,240000,114611470,56893896,0,44584309,0,0,240000,0,397472,43184992,34061980,8642993,9123012,240000,154237,21,78116,76121,240000,514,141734367,357,161560765,404618,12
240000,192673366,305280664,344142615,0,147874133,153137129,240000,105667880,51998570,0,42235045,0,0,240000,0,349498,45599139,36007978,9111151,9591161,240000,222370,28,180581,41789,240000,469,121490957,437,153827605,363106,6
480000,379495460,610563534,683250773,0,293517810,303383813,480000,207707781,103818931,0,83578002,0,0,480000,0,504646,84178258,66573648,16644571,17604610,480000,342593,45,218881,123712,480000,850,217578106,725,293760076,345626,359
480000,377879447,610560664,688632631,0,296804188,304479777,480000,206929546,103433162,0,83181055,0,0,480000,0,330537,81611298,64461259,16190023,17150039,480000,332362,30,222618,109744,480000,579,244597794,427,306590147,560942,23
480000,371953996,610560664,675884040,0,291985609,298864043,480000,218776724,108634429,0,85484885,0,0,480000,0,516105,85434397,67666257,16808116,17768140,480000,477674,24,284769,192905,480000,678,240390401,621,303452462,390876,21
960000,800898214,1221123534,1425331883,0,610414300,634179752,960000,438249504,218064055,0,171875080,0,0,960000,0,915362,168585702,133222008,33443644,35363694,960000,286804,44,180231,106573,960000,1295,509780837,909,620378559,1321242,411
960000,842524095,1221120664,1511432217,0,648971565,670549962,960000,457673546,228131147,0,176655032,0,0,960000,0,1526073,175871356,139015322,34936006,36856034,960000,426628,29,298918,127710,960000,1073,583339393,601,645895412,2974171,32
960000,857359286,1221120664,1529329398,0,654194413,680820230,960000,437097252,216622816,0,172687743,0,0,960000,0,1697576,176448644,139408356,35120224,37040288,960000,436546,28,257119,179427,960000,1091,602373518,616,661526782,2250048,6
