WHETSTONE,CPU_CYCLES,INST_RETIRED,INST_SPEC_EXEC,INST_SPEC_EXEC_VFP,INST_SPEC_EXEC_INTEGER_INST,INST_SPEC_EXEC_LOAD_STORE,WHETSTONE,INST_SPEC_EXEC_LOAD,INST_SPEC_EXEC_STORE,INST_SPEC_EXEC_SIMD,INST_SPEC_EXEC_SOFT_PC,INST_SPEC_EXEC_LDREX,INST_SPEC_EXEC_STREX_PASS,WHETSTONE,INST_SPEC_EXEC_STREX_FAIL,BRANCH_MISPRED,BRANCH_PRED,BRANCH_SPEC_EXEC_IMM_BRANCH,BRANCH_SPEC_EXEC_RET,BRANCH_SPEC_EXEC_IND,WHETSTONE,L1D_TLB_REFILL,L1I_TLB_REFILL,L1D_TLB_READ_REFILL,L1D_TLB_WRITE_REFILL,WHETSTONE,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L2D_CACHE_ACCESS,L2D_CACHE_REFILL
3000,593634767,930394622,946497497,108337245,432678815,343797026,3000,245345077,95209751,1851922,66231898,0,0,3000,0,942483,66231770,49869428,12768246,16362342,3000,525,76,497,28,3000,1164,275471881,1156259,338444915,2314665,820
3000,594332559,930385662,930398048,108337192,428693723,333011903,3000,244398166,88613785,1851926,66229786,0,0,3000,0,183,66229743,49867565,12768137,16362178,3000,371,82,339,32,3000,610,268317265,4706,336093017,10890,357
3000,591343272,930385662,930398325,108337456,428693818,333011913,3000,244397875,88613695,1851938,66229730,0,0,3000,0,192,66229881,49867656,12768180,16362225,3000,376,68,336,40,3000,583,268316119,4663,336092413,10513,242
6000,1163707056,1848975062,1871614073,211923956,858096238,679376896,6000,488969394,190406401,3205490,132278182,0,0,6000,0,1116601,132278263,99553819,25536335,32724444,6000,873,92,811,62,6000,1134,567742693,1447,683061999,5521,1401
6000,1158848926,1848966102,1848985639,211923430,852435645,664296851,6000,487080203,177216263,3205482,132276110,0,0,6000,0,217,132276390,99552040,25536289,32724350,6000,595,74,553,42,6000,700,533638580,984,670448914,3316,257
6000,1161610809,1848966102,1848987279,211923550,852436466,664297467,6000,487080874,177216554,3205460,132276275,0,0,6000,0,178,132276272,99551942,25536257,32724330,6000,633,66,595,38,6000,729,533637612,956,670448599,3421,239
12000,2325561800,3653762468,3717211498,406682346,1703043796,1363388816,12000,972087041,391306063,5201232,263039880,0,0,12000,0,3768645,263039787,197591092,51072533,65448695,12000,3051,314,2963,88,12000,1908,1123226543,1653,1359012572,6985,1441
12000,2280862958,3653753508,3653789163,406681776,1687123341,1321194718,12000,966772515,354421953,5201220,263037580,0,0,12000,0,2232299,263037626,197589084,51072433,65448542,12000,1068,92,984,84,12000,1261,1055401587,1350,1333492430,4973,511
12000,2276322694,3653753508,3653792189,406682084,1687124404,1321196293,12000,966772865,354421940,5201246,263037496,0,0,12000,0,288,263037623,197589093,51072403,65448530,12000,1081,68,980,101,12000,1772,1056151023,1692,1333498136,6735,1052
24000,4407732767,7074350468,7164584350,724302071,3304911907,2659971859,24000,1894581327,732768819,5201256,517932966,0,0,24000,0,7536922,517932802,387035735,102144846,130897067,24000,2236,161,2051,185,24000,2019,2191916248,1294,2676426465,5881,1354
24000,4354328190,7074341508,7074423152,724304434,3282302283,2599954339,24000,1891117466,708833113,5201238,517930917,0,0,24000,0,422,517930875,387033902,102144760,130896973,24000,1789,95,1636,153,24000,1613,2103127377,875,2645178267,4198,313
24000,4348714878,7074341508,7074406048,724301720,3282295069,2599950158,24000,1891121273,708833456,5201392,517931740,0,0,24000,0,418,517930705,387033760,102144740,130896945,24000,2002,89,1862,140,24000,1576,2047833053,941,2624527125,4177,236
48000,8560342860,13915526468,13930794207,1359541072,6476430619,5167559407,48000,3751838811,1501520442,5201226,1027720321,0,0,48000,0,15072934,1027719262,765925084,204289446,261794178,48000,4099,153,3716,383,48000,3974,4320305564,1855,5311253077,9617,1771
48000,8564576756,13915517508,13915645966,1359541653,6472641756,5157463188,48000,3739815503,1417658740,5201212,1027718769,0,0,48000,0,8928621,1027717617,765923488,204289504,261794129,48000,3588,151,3268,320,48000,2645,4032709336,1233,5206604920,6138,672
48000,8545346770,13915517508,13915639324,1359541008,6472638515,5157460825,48000,3739813229,1417658144,5201248,1027718320,0,0,48000,0,523,1027717189,765923404,204289404,261793785,48000,3291,109,2926,365,48000,2636,4032706975,1166,5206603246,5897,362
