
---------- Begin Simulation Statistics ----------
sim_seconds                               2420.308666                       # Number of seconds simulated
sim_ticks                                2420308666254500                       # Number of ticks simulated
final_tick                               2420308666254500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_seconds                                 19821.98                       # Real time elapsed on the host
host_tick_rate                           122102258792                       # Simulator tick rate (ticks/s)
host_mem_usage                                5239508                       # Number of bytes of host memory used
sim_insts                                  2173586170                       # Number of instructions simulated
sim_ops                                    5419977219                       # Number of ops (including micro ops) simulated
host_inst_rate                                 109655                       # Simulator instruction rate (inst/s)
host_op_rate                                   273433                       # Simulator op (including micro ops) rate (op/s)
system.apicbridge.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.clk_domain.clock                          1000                       # Clock period in ticks
system.cpu.numCycles                       8802861504                       # Number of cpu cycles simulated
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed
system.cpu.instsAdded                      5608787055                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.nonSpecInstsAdded                 23740353                       # Number of non-speculative instructions added to the IQ
system.cpu.instsIssued                     5586039569                       # Number of instructions issued
system.cpu.squashedInstsIssued                2413877                       # Number of squashed instructions issued
system.cpu.squashedInstsExamined            212550159                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.squashedOperandsExamined         182134729                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.squashedNonSpecRemoved             7726137                       # Number of squashed non-spec instructions that were removed
system.cpu.numIssuedDist::samples          4163851102                       # Number of insts issued each cycle
system.cpu.numIssuedDist::mean               1.341556                       # Number of insts issued each cycle
system.cpu.numIssuedDist::stdev              1.995950                       # Number of insts issued each cycle
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::0                2443604510     58.69%     58.69% # Number of insts issued each cycle
system.cpu.numIssuedDist::1                 424133709     10.19%     68.87% # Number of insts issued each cycle
system.cpu.numIssuedDist::2                 275830332      6.62%     75.50% # Number of insts issued each cycle
system.cpu.numIssuedDist::3                 327896754      7.87%     83.37% # Number of insts issued each cycle
system.cpu.numIssuedDist::4                 166880378      4.01%     87.38% # Number of insts issued each cycle
system.cpu.numIssuedDist::5                 257427660      6.18%     93.56% # Number of insts issued each cycle
system.cpu.numIssuedDist::6                 215814400      5.18%     98.74% # Number of insts issued each cycle
system.cpu.numIssuedDist::7                  41098150      0.99%     99.73% # Number of insts issued each cycle
system.cpu.numIssuedDist::8                  11165209      0.27%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle
system.cpu.numIssuedDist::total            4163851102                       # Number of insts issued each cycle
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.statFuBusy::IntAlu               127155176     93.19%     93.19% # attempts to use FU when none available
system.cpu.statFuBusy::IntMult                      0      0.00%     93.19% # attempts to use FU when none available
system.cpu.statFuBusy::IntDiv                       0      0.00%     93.19% # attempts to use FU when none available
system.cpu.statFuBusy::FloatAdd                     0      0.00%     93.19% # attempts to use FU when none available
system.cpu.statFuBusy::FloatCmp                     0      0.00%     93.19% # attempts to use FU when none available
system.cpu.statFuBusy::FloatCvt                    50      0.00%     93.19% # attempts to use FU when none available
system.cpu.statFuBusy::FloatMult                    0      0.00%     93.19% # attempts to use FU when none available
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     93.19% # attempts to use FU when none available
